time_step,tvd
1,1.6
2,0.838315865
3,0.225046722
4,0.037555777
5,0.0128807660000001
6,0.023921726
7,0.013182245
8,0.052441738
9,0.022525424
10,0.050460767
11,0.035113719
12,0.021107774
13,0.029268553
14,0.0124011690000001
15,0.116584894
16,0.0891437409999999
17,0.111912916
18,0.051131834
19,0.0467812899999999
20,0.0444580040000001
