time_msec,sum_log_diff
2.157,1.8419
4.199,0.3918330883
6.233,0.0236930069
8.494,0.0052485848
12.004,0.0051838014
14.659,0.0052267183
17.025,0.0052290975
19.28,0.0052295804
21.918,0.0052296376
24.87,0.0052296421
27.845,0.0052296425
30.725,0.0052296426
33.235,0.0052296426
34.831,0.0052296426
36.211,0.0052296426
37.662,0.0052296426
39.031,0.0052296426
40.419,0.0052296426
41.865,0.0052296426
43.255,0.0052296426
