time_msec,tvd_hmm_timestep_1,tvd_hmm_timestep_2,tvd_hmm_timestep_3,tvd_hmm_timestep_4,tvd_hmm_timestep_5,tvd_hmm_timestep_6,tvd_hmm_timestep_7,tvd_hmm_timestep_8,tvd_hmm_timestep_9,tvd_hmm_timestep_10,tvd_hmm_timestep_11,tvd_hmm_timestep_12,tvd_hmm_timestep_13,tvd_hmm_timestep_14,tvd_hmm_timestep_15,tvd_hmm_timestep_16,tvd_hmm_timestep_17,tvd_hmm_timestep_18,tvd_hmm_timestep_19,tvd_hmm_timestep_20,mean_tvd,variance_tvd
117.444038,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
113.760948,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
117.270947,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
126.623154,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
144.101143,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
160.174131,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
189.919949,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
211.346149,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
243.07394,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
289.649963,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
351.791143,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
465.191841,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
527.006149,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
675.687075,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
831.945181,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
1072.041988,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
1368.769169,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
1726.128817,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
2202.242851,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
2874.051094,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
3686.833143,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
4810.575962,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
6227.861881,1.436695,0.383661,0.125415,0.019209,0.071928,0.104347,0.335098,0.144159,0.045132,0.049611,0.028183,0.064289,0.09594,0.210186,0.175436,0.21581,0.153653,0.114116,0.096658,0.048318,0.195892,0.089875796
