time_msec,sum_abs_diff
2157,1.8419
4199,0.391833088
6233,0.023693007
8494,0.005248585
12004,0.005183801
14659,0.005226718
17025,0.005229098
19280,0.00522958
21918,0.005229638
24870,0.005229642
27845,0.005229643
30725,0.005229643
33235,0.005229643
34831,0.005229643
36211,0.005229643
37662,0.005229643
39031,0.005229643
40419,0.005229643
41865,0.005229643
43255,0.005229643
