time_msec,mse
4249.512911,6.160250656
7422.315836,5.426918077
10384.19604,4.311119208
13226.36986,3.987953899
16185.38284,3.987953899
18864.16006,1.939904462
22352.17404,1.939904462
25867.84101,1.939904462
29270.32304,1.939904462
32502.49505,1.939904462
