time_msec,tvd
4249.512911,0.617097
7422.315836,0.60150975
10384.19604,0.642343
13226.36986,0.39554125
16185.38284,0.41817675
18864.16006,0.441401
22352.17404,0.42300525
25867.84101,0.4046285
29270.32304,0.455838
32502.49505,0.42682525
